city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
chicago,KXHIGHCHI-26JAN01-T27,2026-01-01,2026-01-01 16:00:00+00:00,1.0,False,0.909091,0.090909,0.909091,0.090909,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.889091,,0.889091,0.899091,1,0.01,-0.01,-0.02,33,baseline_climatology_v1,2,28° or above,greater,27.0,,or_above,0-25,False
nyc,KXHIGHNY-26JAN01-T30,2026-01-01,2026-01-01 15:00:00+00:00,1.0,False,0.090909,0.909091,0.090909,0.909091,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.070909,,0.070909,0.080909,1,0.01,-0.01,-0.02,33,baseline_climatology_v1,2,29° or below,less,,30.0,or_below,0-25,False
nyc,KXHIGHNY-26JAN01-T37,2026-01-01,2026-01-01 15:00:00+00:00,1.0,False,0.878788,0.121212,0.878788,0.121212,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.858788,,0.858788,0.868788,1,0.01,-0.01,-0.02,33,baseline_climatology_v1,2,38° or above,greater,37.0,,or_above,0-25,False
chicago,KXHIGHCHI-26JAN02-T24,2026-01-02,2026-01-02 16:00:00+00:00,4.0,False,0.117647,0.882353,0.117647,0.882353,4.0,5.0,95.0,96.0,yes,5.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.057647,,0.057647,0.067647,1,0.01,-0.05,-0.06,34,baseline_climatology_v1,2,23° or below,less,,24.0,or_below,0-25,False
chicago,KXHIGHCHI-26JAN02-T31,2026-01-02,2026-01-02 16:00:00+00:00,0.5,False,0.823529,0.176471,0.823529,0.176471,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.803529,,0.803529,0.813529,1,0.01,-0.01,-0.02,34,baseline_climatology_v1,2,32° or above,greater,31.0,,or_above,0-25,False
nyc,KXHIGHNY-26JAN02-T35,2026-01-02,2026-01-02 15:00:00+00:00,1.0,False,0.911765,0.088235,0.911765,0.088235,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.891765,,0.891765,0.901765,1,0.01,-0.01,-0.02,34,baseline_climatology_v1,2,36° or above,greater,35.0,,or_above,0-25,False
chicago,KXHIGHCHI-26JAN03-T34,2026-01-03,2026-01-03 16:00:00+00:00,0.5,False,0.529412,0.470588,0.529412,0.470588,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.509412,,0.509412,0.519412,1,0.01,-0.01,-0.02,34,baseline_climatology_v1,2,35° or above,greater,34.0,,or_above,0-25,False
nyc,KXHIGHNY-26JAN03-T36,2026-01-03,2026-01-03 15:00:00+00:00,1.0,False,0.794118,0.205882,0.794118,0.205882,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.774118,,0.774118,0.784118,1,0.01,-0.01,-0.02,34,baseline_climatology_v1,2,37° or above,greater,36.0,,or_above,0-25,False
chicago,KXHIGHCHI-26JAN04-T29,2026-01-04,2026-01-04 16:00:00+00:00,1.0,False,0.294118,0.705882,0.294118,0.705882,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.274118,,0.274118,0.284118,1,0.01,-0.01,-0.02,34,baseline_climatology_v1,2,28° or below,less,,29.0,or_below,0-25,False
chicago,KXHIGHCHI-26JAN04-T36,2026-01-04,2026-01-04 16:00:00+00:00,0.5,False,0.382353,0.617647,0.382353,0.617647,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.362353,,0.362353,0.372353,1,0.01,-0.01,-0.02,34,baseline_climatology_v1,2,37° or above,greater,36.0,,or_above,0-25,False
